,group,round,id_in_group,split,high,guess,win,turker,strategy
182,6,6,3,1,1,18.0,0,A3HHDPKL3O3O7Y,
183,6,6,4,1,1,10.0,0,A3HNEYFOIJWPH1,
184,6,7,1,1,1,16.0,0,A2R9OK4M877ZCC,
185,6,7,2,1,1,17.0,0,A15TFO5B95QVQZ,
186,6,7,3,1,1,16.0,0,A3HHDPKL3O3O7Y,
187,6,7,4,1,1,15.0,1,A3HNEYFOIJWPH1,
188,6,8,1,1,1,55.0,0,A2R9OK4M877ZCC,Pick random numbers
189,6,8,2,1,1,12.0,0,A15TFO5B95QVQZ,"I tried to stay with lower numbers as that seemed to be the pattern,  but would occasionally try a higher number just in case the pattern switched. "
190,6,8,3,1,1,14.0,0,A3HHDPKL3O3O7Y,I tried to guess roughly around the value of the previous correct answer.
191,6,8,4,1,1,16.0,1,A3HNEYFOIJWPH1,Just tried to follow the pattern of numbers. There was a pattern for sure. Took a few rounds to figure it out. 
192,7,1,1,1,1,100.0,0,A183GCTM4YW1SQ,
193,7,1,2,1,1,55.0,1,AQZS4LLD5E5ZW,
194,7,1,3,1,1,75.0,0,A333BXH5ATXBHC,
195,7,1,4,1,1,23.0,0,A3GEHH49HNJM57,
196,7,2,1,1,1,60.0,0,A183GCTM4YW1SQ,
197,7,2,2,1,1,45.0,0,AQZS4LLD5E5ZW,
198,7,2,3,1,1,65.0,0,A333BXH5ATXBHC,
199,7,2,4,1,1,41.0,1,A3GEHH49HNJM57,
200,7,3,1,1,1,43.0,1,A183GCTM4YW1SQ,
201,7,3,2,1,1,50.0,0,AQZS4LLD5E5ZW,
202,7,3,3,1,1,50.0,0,A333BXH5ATXBHC,
203,7,3,4,1,1,62.0,0,A3GEHH49HNJM57,
204,7,4,1,1,1,38.0,0,A183GCTM4YW1SQ,
205,7,4,2,1,1,40.0,0,AQZS4LLD5E5ZW,
206,7,4,3,1,1,35.0,1,A333BXH5ATXBHC,
207,7,4,4,1,1,39.0,0,A3GEHH49HNJM57,
208,7,5,1,1,1,28.0,0,A183GCTM4YW1SQ,
209,7,5,2,1,1,32.0,0,AQZS4LLD5E5ZW,
210,7,5,3,1,1,27.0,1,A333BXH5ATXBHC,
211,7,5,4,1,1,72.0,0,A3GEHH49HNJM57,
212,7,6,1,1,1,25.0,1,A183GCTM4YW1SQ,
213,7,6,2,1,1,30.0,0,AQZS4LLD5E5ZW,
214,7,6,3,1,1,28.0,0,A333BXH5ATXBHC,
215,7,6,4,1,1,55.0,0,A3GEHH49HNJM57,
216,7,7,1,1,1,22.0,0,A183GCTM4YW1SQ,
217,7,7,2,1,1,22.0,0,AQZS4LLD5E5ZW,
218,7,7,3,1,1,24.0,0,A333BXH5ATXBHC,
219,7,7,4,1,1,20.0,1,A3GEHH49HNJM57,
220,7,8,1,1,1,14.0,0,A183GCTM4YW1SQ,I choose number based on the previous average. 
221,7,8,2,1,1,18.0,0,AQZS4LLD5E5ZW,i started low- and saw everyone else was guessing lower each time so i lowered my guess
222,7,8,3,1,1,11.0,1,A333BXH5ATXBHC,"I saw a pattern that the average was decreasing and so I tried to go lower than the guess. For example in round 7 the average was 14.67, so for the next I thought maybe 15 but then I went down a little lower to account for this, because the average is generally going to be lower than the initial guess."
223,7,8,4,1,1,30.0,0,A3GEHH49HNJM57,I tried to guess the best number that was assuming that the 2/3 average was decreasing as the rounds went on.
224,8,1,1,1,1,50.0,0,A2M6URTK6WO6XJ,
225,8,1,2,1,1,50.0,0,A2CSD7F60ZQLR,
226,8,1,3,1,1,44.0,0,AZP301TUFBRUG,
227,8,1,4,1,1,33.0,1,A3568WHL16R694,
228,8,2,1,1,1,20.0,1,A2M6URTK6WO6XJ,
229,8,2,2,1,1,17.0,0,A2CSD7F60ZQLR,
230,8,2,3,1,1,66.0,0,AZP301TUFBRUG,
231,8,2,4,1,1,66.0,0,A3568WHL16R694,
232,8,3,1,1,1,75.0,0,A2M6URTK6WO6XJ,
233,8,3,2,1,1,17.0,0,A2CSD7F60ZQLR,
234,8,3,3,1,1,33.0,1,AZP301TUFBRUG,
235,8,3,4,1,1,55.0,0,A3568WHL16R694,
236,8,4,1,1,1,46.0,0,A2M6URTK6WO6XJ,
237,8,4,2,1,1,24.0,1,A2CSD7F60ZQLR,
238,8,4,3,1,1,34.0,0,AZP301TUFBRUG,
239,8,4,4,1,1,35.0,0,A3568WHL16R694,
240,8,5,1,1,1,15.0,1,A2M6URTK6WO6XJ,
241,8,5,2,1,1,21.0,0,A2CSD7F60ZQLR,
242,8,5,3,1,1,36.0,0,AZP301TUFBRUG,
243,8,5,4,1,1,31.0,0,A3568WHL16R694,
244,8,6,1,1,1,30.0,0,A2M6URTK6WO6XJ,
245,8,6,2,1,1,17.0,0,A2CSD7F60ZQLR,
246,8,6,3,1,1,67.0,0,AZP301TUFBRUG,
247,8,6,4,1,1,18.0,1,A3568WHL16R694,
248,8,7,1,1,1,10.0,1,A2M6URTK6WO6XJ,
249,8,7,2,1,1,17.0,0,A2CSD7F60ZQLR,
250,8,7,3,1,1,14.0,0,AZP301TUFBRUG,
251,8,7,4,1,1,25.0,0,A3568WHL16R694,
252,8,8,1,1,1,24.0,0,A2M6URTK6WO6XJ,I noticed the numbers were usually lower in each round so I made a guess between 15-40
253,8,8,2,1,1,1.0,0,A2CSD7F60ZQLR,"all over the place - just chose favorite numbers, really"
254,8,8,3,1,1,16.0,1,AZP301TUFBRUG,just following my instinct 
255,8,8,4,1,1,40.0,0,A3568WHL16R694,just tried to guess the average number doing the math in my head 
256,9,1,1,1,1,45.0,0,AEXF5EUX32U0M,
257,9,1,2,1,1,7.0,0,A1MVPAAPFIWETH,
258,9,1,3,1,1,27.0,1,A10TWCI2VE0LWJ,
259,9,1,4,1,1,50.0,0,A2UVS1PDM9QM4Z,
260,9,2,1,1,1,22.0,1,AEXF5EUX32U0M,
261,9,2,2,1,1,7.0,0,A1MVPAAPFIWETH,
262,9,2,3,1,1,32.0,0,A10TWCI2VE0LWJ,
263,9,2,4,1,1,70.0,0,A2UVS1PDM9QM4Z,
264,9,3,1,1,1,22.0,1,AEXF5EUX32U0M,
265,9,3,2,1,1,27.0,0,A1MVPAAPFIWETH,
266,9,3,3,1,1,25.0,0,A10TWCI2VE0LWJ,
267,9,3,4,1,1,60.0,0,A2UVS1PDM9QM4Z,
268,9,4,1,1,1,22.0,0,AEXF5EUX32U0M,
269,9,4,2,1,1,22.0,0,A1MVPAAPFIWETH,
270,9,4,3,1,1,21.0,1,A10TWCI2VE0LWJ,
271,9,4,4,1,1,40.0,0,A2UVS1PDM9QM4Z,
272,9,5,1,1,1,19.0,1,AEXF5EUX32U0M,
273,9,5,2,1,1,19.0,1,A1MVPAAPFIWETH,
274,9,5,3,1,1,19.0,1,A10TWCI2VE0LWJ,
275,9,5,4,1,1,43.0,0,A2UVS1PDM9QM4Z,
276,9,6,1,1,1,18.0,0,AEXF5EUX32U0M,
277,9,6,2,1,1,18.0,0,A1MVPAAPFIWETH,
278,9,6,3,1,1,17.0,1,A10TWCI2VE0LWJ,
279,9,6,4,1,1,43.0,0,A2UVS1PDM9QM4Z,
280,9,7,1,1,1,16.0,1,AEXF5EUX32U0M,
281,9,7,2,1,1,17.0,0,A1MVPAAPFIWETH,
282,9,7,3,1,1,16.0,1,A10TWCI2VE0LWJ,
283,9,7,4,1,1,18.0,0,A2UVS1PDM9QM4Z,
284,9,8,1,1,1,15.0,0,AEXF5EUX32U0M,I just saw a pattern of it slowly decreasing and tried to follow that
