,session,code,turker,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,cutoff,newcutoff,changingstrategy,fault,cok840,cok900,simple,payoff
143,skcucks5,4vnbdkgv,,2,2,12,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
144,skcucks5,luykbvrv,,2,1,13,9.0,0.0,0.75,-2.77,,,,,,,,,0.0
145,skcucks5,4vnbdkgv,,2,2,13,8.5,1.0,0.875,-4.16,,,,,,,,,0.0
146,skcucks5,luykbvrv,,2,1,14,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
147,skcucks5,4vnbdkgv,,2,2,14,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
148,skcucks5,luykbvrv,,2,1,15,8.4,1.0,0.75,-0.29,,,,,,,,,0.0
149,skcucks5,4vnbdkgv,,2,2,15,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
150,skcucks5,luykbvrv,,2,1,16,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
151,skcucks5,4vnbdkgv,,2,2,16,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
152,skcucks5,luykbvrv,,2,1,17,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
153,skcucks5,4vnbdkgv,,2,2,17,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
154,skcucks5,luykbvrv,,2,1,18,8.4,1.0,0.75,-0.29,,,,,,,,,0.0
155,skcucks5,4vnbdkgv,,2,2,18,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
156,skcucks5,luykbvrv,,2,1,19,8.4,1.0,0.75,-0.29,,,,,,,,,0.0
157,skcucks5,4vnbdkgv,,2,2,19,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
158,skcucks5,luykbvrv,,2,1,20,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
159,skcucks5,4vnbdkgv,,2,2,20,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
160,skcucks5,luykbvrv,,2,1,21,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
161,skcucks5,4vnbdkgv,,2,2,21,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
162,skcucks5,luykbvrv,,2,1,22,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
163,skcucks5,4vnbdkgv,,2,2,22,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
164,skcucks5,luykbvrv,,2,1,23,9.0,0.0,0.5,-1.39,,,,,,,,,0.0
165,skcucks5,4vnbdkgv,,2,2,23,8.5,1.0,0.99,-9.21,,,,,,,,,0.0
166,skcucks5,luykbvrv,,2,1,24,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
167,skcucks5,4vnbdkgv,,2,2,24,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
168,skcucks5,luykbvrv,,2,1,25,8.4,1.0,0.99,-9.21,,,,,,,,,0.0
169,skcucks5,4vnbdkgv,,2,2,25,8.5,0.0,0.875,-4.16,,,,,,,,,0.0
170,skcucks5,luykbvrv,,2,1,26,8.4,1.0,0.99,-9.21,,,,,,,,,0.0
171,skcucks5,4vnbdkgv,,2,2,26,8.5,0.0,0.625,-1.96,,,,,,,,,0.0
172,skcucks5,luykbvrv,,2,1,27,8.5,0.0,0.5,-1.39,,,,,,,,,0.0
173,skcucks5,4vnbdkgv,,2,2,27,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
174,skcucks5,luykbvrv,,2,1,28,8.5,0.0,0.5,-1.39,,,,,,,,,0.0
175,skcucks5,4vnbdkgv,,2,2,28,8.4,1.0,0.75,-2.77,,,,,,,,,0.0
176,skcucks5,luykbvrv,,2,1,29,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
177,skcucks5,4vnbdkgv,,2,2,29,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
178,skcucks5,luykbvrv,,2,1,30,8.5,0.0,0.99,-0.02,At first it was very certain that I went to the canteen if I arrived 8.40 or earlier. But this was expensive if my buddy went to the office at 8.50. So I tried to be more conservative when arriving 8.40 or later.  The best strategy would be for both to go to the office everytime.,7.0,Yes. Because you learn more and more about the game as you play it.,Yes. Both my buddy and I learned more and more about the game.,,0.0,,2.0,0.0
179,skcucks5,4vnbdkgv,,2,2,30,9.0,0.0,0.99,-0.02,You know that your opponent believes your time is within 20 minutes of what it is so you can guess at what they will guess that you will do,8.4,"Yes, initially they seemed to always want to go to the canteen","Yes, I at one point was only somewhat certain when I should have been very",,,0.0,1.0,0.0
180,skcucks5,it43ekje,,3,1,1,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
181,skcucks5,ovpi7o74,,3,2,1,8.2,1.0,0.75,-0.29,,,,,,,,,0.0
182,skcucks5,it43ekje,,3,1,2,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
183,skcucks5,ovpi7o74,,3,2,2,8.0,1.0,0.75,-0.29,,,,,,,,,0.0
184,skcucks5,it43ekje,,3,1,3,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
185,skcucks5,ovpi7o74,,3,2,3,8.4,1.0,0.75,-0.29,,,,,,,,,0.0
186,skcucks5,it43ekje,,3,1,4,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
187,skcucks5,ovpi7o74,,3,2,4,8.2,1.0,0.75,-0.29,,,,,,,,,0.0
188,skcucks5,it43ekje,,3,1,5,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
189,skcucks5,ovpi7o74,,3,2,5,8.3,1.0,0.875,-0.13,,,,,,,,,0.0
190,skcucks5,it43ekje,,3,1,6,8.4,1.0,0.75,-0.29,,,,,,,,,0.0
191,skcucks5,ovpi7o74,,3,2,6,8.5,1.0,0.75,-0.29,,,,,,,,,0.0
192,skcucks5,it43ekje,,3,1,7,9.0,0.0,0.875,-4.16,,,,,,,,,0.0
193,skcucks5,ovpi7o74,,3,2,7,8.5,1.0,0.75,-2.77,,,,,,,,,0.0
194,skcucks5,it43ekje,,3,1,8,8.4,1.0,0.875,-0.13,,,,,,,,,0.0
195,skcucks5,ovpi7o74,,3,2,8,8.3,1.0,0.75,-0.29,,,,,,,,,0.0
196,skcucks5,it43ekje,,3,1,9,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
197,skcucks5,ovpi7o74,,3,2,9,8.2,1.0,0.75,-0.29,,,,,,,,,0.0
198,skcucks5,it43ekje,,3,1,10,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
199,skcucks5,ovpi7o74,,3,2,10,9.0,0.0,0.5,-1.39,,,,,,,,,0.0
200,skcucks5,it43ekje,,3,1,11,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
201,skcucks5,ovpi7o74,,3,2,11,8.4,1.0,0.75,-0.29,,,,,,,,,0.0
202,skcucks5,it43ekje,,3,1,12,8.4,1.0,0.875,-0.13,,,,,,,,,0.0
203,skcucks5,ovpi7o74,,3,2,12,8.5,1.0,0.75,-0.29,,,,,,,,,0.0
204,skcucks5,it43ekje,,3,1,13,9.0,0.0,0.875,-0.27,,,,,,,,,0.0
205,skcucks5,ovpi7o74,,3,2,13,9.1,0.0,0.5,-1.39,,,,,,,,,0.0
206,skcucks5,it43ekje,,3,1,14,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
207,skcucks5,ovpi7o74,,3,2,14,8.3,1.0,0.875,-0.13,,,,,,,,,0.0
208,skcucks5,it43ekje,,3,1,15,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
209,skcucks5,ovpi7o74,,3,2,15,8.3,1.0,0.875,-0.13,,,,,,,,,0.0
210,skcucks5,it43ekje,,3,1,16,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
211,skcucks5,ovpi7o74,,3,2,16,8.5,1.0,0.875,-0.13,,,,,,,,,0.0
212,skcucks5,it43ekje,,3,1,17,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
213,skcucks5,ovpi7o74,,3,2,17,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
214,skcucks5,it43ekje,,3,1,18,9.0,0.0,0.875,-0.27,,,,,,,,,0.0
215,skcucks5,ovpi7o74,,3,2,18,9.1,0.0,0.875,-0.27,,,,,,,,,0.0
216,skcucks5,it43ekje,,3,1,19,9.0,0.0,0.99,-9.21,,,,,,,,,0.0
217,skcucks5,ovpi7o74,,3,2,19,8.5,1.0,0.75,-2.77,,,,,,,,,0.0
218,skcucks5,it43ekje,,3,1,20,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
219,skcucks5,ovpi7o74,,3,2,20,8.1,1.0,0.75,-0.29,,,,,,,,,0.0
220,skcucks5,it43ekje,,3,1,21,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
221,skcucks5,ovpi7o74,,3,2,21,8.4,1.0,0.875,-0.13,,,,,,,,,0.0
222,skcucks5,it43ekje,,3,1,22,8.5,1.0,0.625,-0.47,,,,,,,,,0.0
223,skcucks5,ovpi7o74,,3,2,22,8.4,1.0,0.875,-0.13,,,,,,,,,0.0
224,skcucks5,it43ekje,,3,1,23,9.0,0.0,0.875,-0.27,,,,,,,,,0.0
225,skcucks5,ovpi7o74,,3,2,23,8.5,0.0,0.875,-0.27,,,,,,,,,0.0
226,skcucks5,it43ekje,,3,1,24,8.5,0.0,0.75,-2.77,,,,,,,,,0.0
227,skcucks5,ovpi7o74,,3,2,24,8.4,1.0,0.75,-2.77,,,,,,,,,0.0
228,skcucks5,it43ekje,,3,1,25,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
229,skcucks5,ovpi7o74,,3,2,25,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
230,skcucks5,it43ekje,,3,1,26,8.5,0.0,0.75,-2.77,,,,,,,,,0.0
231,skcucks5,ovpi7o74,,3,2,26,8.4,1.0,0.875,-4.16,,,,,,,,,0.0
232,skcucks5,it43ekje,,3,1,27,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
233,skcucks5,ovpi7o74,,3,2,27,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
234,skcucks5,it43ekje,,3,1,28,8.5,1.0,0.75,-2.77,,,,,,,,,0.0
235,skcucks5,ovpi7o74,,3,2,28,8.4,0.0,0.625,-1.96,,,,,,,,,0.0
236,skcucks5,it43ekje,,3,1,29,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
237,skcucks5,ovpi7o74,,3,2,29,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
238,skcucks5,it43ekje,,3,1,30,8.4,1.0,0.875,-0.13,"Knowing that my coworker could at the latest arrive 10 minutes after me, I always chose the cantten when arriving before 8:30. For the later arrival times, I was less certain and adapted my answers towhat my coworker seemed to be answering at given times",8.2,"Yes, because it was possible, to go there safely and intuitively made sense","Yes, I adapted to my oworkes answers",,1.0,,1.0,0.0
239,skcucks5,ovpi7o74,,3,2,30,8.3,1.0,0.99,-0.01,"In the beginning: assuming random arrival time, with higher probability that arrival was before 9:00, so simply choosing to going to the canteen with somewhat certainty.   After first week: assume bus is late on wednesdays, so go to office, go to canteen on other days.   Later: go to canteen if your own time + 10 min < 9:00.",8.4,"Yes. There's a 50/50 chance that the other will arrive earlier, and thus have time to go to the canteen.",Yes. I started assuming that the bus would arrive at similar times on same weekdays.,,,0.0,1.0,0.0
240,skcucks5,4h5bhqj6,,4,1,1,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
241,skcucks5,8kszs2jr,,4,2,1,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
242,skcucks5,4h5bhqj6,,4,1,2,8.4,0.0,0.75,-2.77,,,,,,,,,0.0
243,skcucks5,8kszs2jr,,4,2,2,8.3,1.0,0.99,-9.21,,,,,,,,,0.0
244,skcucks5,4h5bhqj6,,4,1,3,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
245,skcucks5,8kszs2jr,,4,2,3,8.1,1.0,0.875,-0.13,,,,,,,,,0.0
246,skcucks5,4h5bhqj6,,4,1,4,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
247,skcucks5,8kszs2jr,,4,2,4,9.1,0.0,0.875,-0.27,,,,,,,,,0.0
248,skcucks5,4h5bhqj6,,4,1,5,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
249,skcucks5,8kszs2jr,,4,2,5,9.0,0.0,0.875,-0.27,,,,,,,,,0.0
250,skcucks5,4h5bhqj6,,4,1,6,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
251,skcucks5,8kszs2jr,,4,2,6,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
252,skcucks5,4h5bhqj6,,4,1,7,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
253,skcucks5,8kszs2jr,,4,2,7,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
254,skcucks5,4h5bhqj6,,4,1,8,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
255,skcucks5,8kszs2jr,,4,2,8,9.1,0.0,0.875,-0.27,,,,,,,,,0.0
256,skcucks5,4h5bhqj6,,4,1,9,8.4,1.0,0.875,-4.16,,,,,,,,,0.0
257,skcucks5,8kszs2jr,,4,2,9,8.5,0.0,0.625,-1.96,,,,,,,,,0.0
258,skcucks5,4h5bhqj6,,4,1,10,8.5,0.0,0.875,-0.27,,,,,,,,,0.0
259,skcucks5,8kszs2jr,,4,2,10,8.4,0.0,0.5,-1.39,,,,,,,,,0.0
260,skcucks5,4h5bhqj6,,4,1,11,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
261,skcucks5,8kszs2jr,,4,2,11,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
262,skcucks5,4h5bhqj6,,4,1,12,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
263,skcucks5,8kszs2jr,,4,2,12,9.0,0.0,0.875,-0.27,,,,,,,,,0.0
264,skcucks5,4h5bhqj6,,4,1,13,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
265,skcucks5,8kszs2jr,,4,2,13,8.5,0.0,0.875,-0.27,,,,,,,,,0.0
266,skcucks5,4h5bhqj6,,4,1,14,8.4,0.0,0.625,-0.94,,,,,,,,,0.0
267,skcucks5,8kszs2jr,,4,2,14,8.5,0.0,0.875,-0.27,,,,,,,,,0.0
268,skcucks5,4h5bhqj6,,4,1,15,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
269,skcucks5,8kszs2jr,,4,2,15,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
270,skcucks5,4h5bhqj6,,4,1,16,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
271,skcucks5,8kszs2jr,,4,2,16,8.2,1.0,0.875,-0.13,,,,,,,,,0.0
272,skcucks5,4h5bhqj6,,4,1,17,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
273,skcucks5,8kszs2jr,,4,2,17,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
274,skcucks5,4h5bhqj6,,4,1,18,8.5,0.0,0.99,-0.02,,,,,,,,,0.0
275,skcucks5,8kszs2jr,,4,2,18,8.4,0.0,0.625,-0.94,,,,,,,,,0.0
276,skcucks5,4h5bhqj6,,4,1,19,8.3,1.0,0.75,-0.29,,,,,,,,,0.0
277,skcucks5,8kszs2jr,,4,2,19,8.2,1.0,0.875,-0.13,,,,,,,,,0.0
278,skcucks5,4h5bhqj6,,4,1,20,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
279,skcucks5,8kszs2jr,,4,2,20,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
280,skcucks5,4h5bhqj6,,4,1,21,8.4,0.0,0.75,-2.77,,,,,,,,,0.0
281,skcucks5,8kszs2jr,,4,2,21,8.3,1.0,0.5,-1.39,,,,,,,,,0.0
282,skcucks5,4h5bhqj6,,4,1,22,8.4,0.0,0.99,-9.21,,,,,,,,,0.0
283,skcucks5,8kszs2jr,,4,2,22,8.3,1.0,0.5,-1.39,,,,,,,,,0.0
284,skcucks5,4h5bhqj6,,4,1,23,8.5,0.0,0.99,-0.02,,,,,,,,,0.0
285,skcucks5,8kszs2jr,,4,2,23,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
286,skcucks5,4h5bhqj6,,4,1,24,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
287,skcucks5,8kszs2jr,,4,2,24,9.1,0.0,0.99,-0.02,,,,,,,,,0.0
288,skcucks5,4h5bhqj6,,4,1,25,8.5,0.0,0.99,-0.02,,,,,,,,,0.0
289,skcucks5,8kszs2jr,,4,2,25,8.4,0.0,0.5,-1.39,,,,,,,,,0.0
290,skcucks5,4h5bhqj6,,4,1,26,8.5,0.0,0.99,-0.02,,,,,,,,,0.0
291,skcucks5,8kszs2jr,,4,2,26,8.4,0.0,0.5,-1.39,,,,,,,,,0.0
292,skcucks5,4h5bhqj6,,4,1,27,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
293,skcucks5,8kszs2jr,,4,2,27,8.3,1.0,0.5,-0.69,,,,,,,,,0.0
294,skcucks5,4h5bhqj6,,4,1,28,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
295,skcucks5,8kszs2jr,,4,2,28,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
296,skcucks5,4h5bhqj6,,4,1,29,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
297,skcucks5,8kszs2jr,,4,2,29,8.1,1.0,0.875,-0.13,,,,,,,,,0.0
298,skcucks5,4h5bhqj6,,4,1,30,8.1,1.0,0.99,-0.01,"Trying to adapt to what my teammate was thinking, but I guess he did the same as we had some misunderstandings.",8.2,My teammate was doing so. So I adapted to what he thought was a safe time. His safe time was 8:30 I found out.,The first time two similair answers came,,0.0,,1.0,0.0
299,skcucks5,8kszs2jr,,4,2,30,8.0,1.0,0.99,-0.01,"Always go to the canteen if 8:20 or earlier, always go to office if 8:50 or later, for 8:30 and 8:40 arrivals try to guess based patterns of previous arrival times",8.3,I don't think so,Not sure,,0.0,,1.0,0.0
300,skcucks5,7ms9gjyn,,5,1,1,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
301,skcucks5,31ff8gvx,,5,2,1,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
302,skcucks5,7ms9gjyn,,5,1,2,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
303,skcucks5,31ff8gvx,,5,2,2,9.0,0.0,0.75,-0.58,,,,,,,,,0.0
304,skcucks5,7ms9gjyn,,5,1,3,9.0,0.0,0.875,-4.16,,,,,,,,,0.0
305,skcucks5,31ff8gvx,,5,2,3,8.5,1.0,0.875,-4.16,,,,,,,,,0.0
306,skcucks5,7ms9gjyn,,5,1,4,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
307,skcucks5,31ff8gvx,,5,2,4,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
308,skcucks5,7ms9gjyn,,5,1,5,9.0,0.0,0.875,-0.27,,,,,,,,,0.0
309,skcucks5,31ff8gvx,,5,2,5,8.5,0.0,0.5,-1.39,,,,,,,,,0.0
310,skcucks5,7ms9gjyn,,5,1,6,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
311,skcucks5,31ff8gvx,,5,2,6,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
312,skcucks5,7ms9gjyn,,5,1,7,8.4,1.0,0.75,-2.77,,,,,,,,,0.0
313,skcucks5,31ff8gvx,,5,2,7,8.5,0.0,0.5,-1.39,,,,,,,,,0.0
314,skcucks5,7ms9gjyn,,5,1,8,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
315,skcucks5,31ff8gvx,,5,2,8,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
316,skcucks5,7ms9gjyn,,5,1,9,8.4,1.0,0.75,-2.77,,,,,,,,,0.0
317,skcucks5,31ff8gvx,,5,2,9,8.5,0.0,0.5,-1.39,,,,,,,,,0.0
318,skcucks5,7ms9gjyn,,5,1,10,8.3,1.0,0.99,-9.21,,,,,,,,,0.0
319,skcucks5,31ff8gvx,,5,2,10,8.4,0.0,0.99,-9.21,,,,,,,,,0.0
320,skcucks5,7ms9gjyn,,5,1,11,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
321,skcucks5,31ff8gvx,,5,2,11,8.2,1.0,0.75,-0.29,,,,,,,,,0.0
322,skcucks5,7ms9gjyn,,5,1,12,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
323,skcucks5,31ff8gvx,,5,2,12,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
324,skcucks5,7ms9gjyn,,5,1,13,8.4,1.0,0.625,-0.47,,,,,,,,,0.0
325,skcucks5,31ff8gvx,,5,2,13,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
326,skcucks5,7ms9gjyn,,5,1,14,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
327,skcucks5,31ff8gvx,,5,2,14,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
328,skcucks5,7ms9gjyn,,5,1,15,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
329,skcucks5,31ff8gvx,,5,2,15,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
330,skcucks5,7ms9gjyn,,5,1,16,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
331,skcucks5,31ff8gvx,,5,2,16,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
332,skcucks5,7ms9gjyn,,5,1,17,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
333,skcucks5,31ff8gvx,,5,2,17,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
334,skcucks5,7ms9gjyn,,5,1,18,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
335,skcucks5,31ff8gvx,,5,2,18,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
336,skcucks5,7ms9gjyn,,5,1,19,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
337,skcucks5,31ff8gvx,,5,2,19,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
338,skcucks5,7ms9gjyn,,5,1,20,8.5,0.0,0.75,-0.58,,,,,,,,,0.0
339,skcucks5,31ff8gvx,,5,2,20,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
340,skcucks5,7ms9gjyn,,5,1,21,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
341,skcucks5,31ff8gvx,,5,2,21,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
342,skcucks5,7ms9gjyn,,5,1,22,8.4,1.0,0.75,-0.29,,,,,,,,,0.0
343,skcucks5,31ff8gvx,,5,2,22,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
344,skcucks5,7ms9gjyn,,5,1,23,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
345,skcucks5,31ff8gvx,,5,2,23,9.1,0.0,0.99,-0.02,,,,,,,,,0.0
346,skcucks5,7ms9gjyn,,5,1,24,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
347,skcucks5,31ff8gvx,,5,2,24,8.0,1.0,0.99,-0.01,,,,,,,,,0.0
348,skcucks5,7ms9gjyn,,5,1,25,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
349,skcucks5,31ff8gvx,,5,2,25,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
350,skcucks5,7ms9gjyn,,5,1,26,9.0,0.0,0.99,-0.02,,,,,,,,,0.0
351,skcucks5,31ff8gvx,,5,2,26,8.5,0.0,0.99,-0.02,,,,,,,,,0.0
352,skcucks5,7ms9gjyn,,5,1,27,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
353,skcucks5,31ff8gvx,,5,2,27,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
354,skcucks5,7ms9gjyn,,5,1,28,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
355,skcucks5,31ff8gvx,,5,2,28,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
356,skcucks5,7ms9gjyn,,5,1,29,8.1,1.0,0.99,-0.01,,,,,,,,,0.0
357,skcucks5,31ff8gvx,,5,2,29,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
358,skcucks5,7ms9gjyn,,5,1,30,8.2,1.0,0.99,-0.01,Thinking about what time my partner would arrive,8.4,No. I was always thinking about which time my partner could arrive.,"Nope, I was thinking from 0 every time.",,0.0,,1.0,0.0
359,skcucks5,31ff8gvx,,5,2,30,8.3,1.0,0.99,-0.01,"Initially to take office every time, but my partner did'n really got the strategy.",7.0,"I did then, but now I would not","Yes, after rereading the payoffs I understood.",,0.0,,1.0,0.0
360,skcucks5,arzg04dp,,6,1,1,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
361,skcucks5,eu1lft65,,6,2,1,8.5,1.0,0.625,-0.47,,,,,,,,,0.0
362,skcucks5,arzg04dp,,6,1,2,8.4,1.0,0.99,-0.01,,,,,,,,,0.0
363,skcucks5,eu1lft65,,6,2,2,8.5,1.0,0.625,-0.47,,,,,,,,,0.0
364,skcucks5,arzg04dp,,6,1,3,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
365,skcucks5,eu1lft65,,6,2,3,8.1,1.0,0.5,-0.69,,,,,,,,,0.0
366,skcucks5,arzg04dp,,6,1,4,8.3,1.0,0.99,-0.01,,,,,,,,,0.0
367,skcucks5,eu1lft65,,6,2,4,8.2,1.0,0.99,-0.01,,,,,,,,,0.0
368,skcucks5,arzg04dp,,6,1,5,8.5,0.0,0.625,-1.96,,,,,,,,,0.0
369,skcucks5,eu1lft65,,6,2,5,8.4,1.0,0.875,-4.16,,,,,,,,,0.0
