participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.worker_running,subsession.someone_arriving,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
22,4bxi3vt7,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:05:34.642902+00:00,1,A25S8BTK83Z7VE,30OG32W0SVUHND7NWUTHP0LEDE5ENT,0.21,22,0,,,,,,,1,2018-07-23 07:05:48.893361+00:00,61,0.21,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
23,nmtgtbtm,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:06:29.072385+00:00,1,A1QKIA8XRNEXIG,3AWETUDC93BNK7NSV1U252QFFLJZI3,0.70,23,11,[18],974.0,974.0,441.798892599778,0.641687840551681,1,,2018-07-23 07:06:43.244284+00:00,210,0.7,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
24,ca61jd5w,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 07:06:49.054738+00:00,1,A2W1QLIYADUJU3,3Q8GYXHFEQLY0QH3W3R05VLP1HSC58,0.00,24,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
25,npjkdr0w,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:14:46.287123+00:00,1,A2BXQ8SZLFQF4D,32XVDSJFP0GJAFA7R9JGAKNPBL5M2Z,0.02,25,12,[18],800.0,800.0,362.873833757518,0.705698431664625,1,,2018-07-23 07:15:03.956615+00:00,6,0.02,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
26,vj2c2fx0,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:15:08.183561+00:00,1,A1AMR0MZOHU8P1,3BEFOD78W7CTDTPUVN243ZKNVZ1M4V,0.06,26,13,[18],2200.0,2200.0,997.903042833174,0.190670687077718,1,,2018-07-23 07:15:34.690153+00:00,19,0.06,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
27,fit4q83c,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:20:11.022319+00:00,1,A1FG63IV3MN9F1,3UXUOQ9OKFGPUFYO0IA6XK9XSK27AG,0.03,27,13,[18],0.0,,,,0,,2018-07-23 07:20:51.714581+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
28,sr1wb132,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:20:41.956569+00:00,1,A2DWSKGD9RNKMJ,37XITHEISXSN5DF1TA438WQLTZHCRM,0.22,28,14,[18],780.0,780.0,353.80198791358,0.713055970873009,1,,2018-07-23 07:20:57.847483+00:00,65,0.22,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
29,nhuykjr4,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:22:07.120751+00:00,1,A1DDBMHUUD900B,33OOO72IVI40LSSTXZ9Y8BR3HKECTZ,0.03,29,15,[18],1351.0,1351.0,612.803186758008,0.502998226473635,1,,2018-07-23 07:22:52.383084+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
30,wp6euphe,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:23:16.700145+00:00,1,A9LX66EQWDRQ5,3Z7EFSHGNAX7291D29AVXEC9UG2CXI,0.02,30,16,[18],1400.0,1400.0,635.029209075656,0.484972255413093,1,,2018-07-23 07:24:09.452905+00:00,6,0.02,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
31,3l61ruza,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 07:23:36.866405+00:00,1,AR50UBGSH10FJ,3QUO65DNQV7GUU4LN98Z877MPC4OUZ,0.00,31,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
32,51oots8x,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:25:27.281821+00:00,1,A2G0GS8LJN1YMY,3TPZPLC3M1VEG033NPPDAYMCM4GP39,0.02,32,17,[18],1100.0,1100.0,498.951521416587,0.595335343538859,1,,2018-07-23 07:25:49.294026+00:00,7,0.02,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
