participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.worker_running,subsession.someone_arriving,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
35,ava9yrod,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 09:59:55.000723+00:00,1,A17HGM0WV0PLY9,3SKRO2GZ72AHV6S8NT6MQOLHVCQ1KT,0.02,35,19,"[14, 28, 30]",1480.0,3262.84204,1480.0,0.200324412003244,0,,2018-07-24 10:00:32.981894+00:00,6,0.02,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
36,p62rfzbq,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:00:18.002644+00:00,1,A1KFVQTYH977CO,3634BBTX0PDHFQWSUP0V2AAY4IKIF0,0.21,36,19,"[14, 28, 30]",0.0,,,,0,,2018-07-24 10:00:40.937240+00:00,61,0.21,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
37,veffq048,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:19:05.049323+00:00,1,A2CRK50MGUK30V,38YMOXR4MVI3XSNMID169V6TQUFW6I,0.03,37,19,"[14, 28, 30]",0.0,,,,0,,2018-07-24 10:19:46.279135+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
38,6wuccibf,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:20:51.937000+00:00,1,A1YMIA0664RNFF,333U7HK6IAYGCH22L1Q5QBMD5KTJD2,0.03,38,19,"[14, 28, 30]",0.0,,,,0,,2018-07-24 10:21:22.442801+00:00,9,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
39,pef5rjo7,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:38:42.081226+00:00,1,A2A2CEBYMI2UNJ,33SA9F9TRYD7A7G1OVK4LJY67S3EWL,0.03,39,20,"[14, 28, 30]",1400.0,1400.0,635.029209075656,0.484972255413093,1,,2018-07-24 10:39:04.816801+00:00,9,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
40,7v58g805,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 10:39:35.703160+00:00,1,A249LDVPG27XCE,3EJJQNKU9SOEMLQHF2I4JNN27TGRHB,0.03,40,21,"[14, 28, 39]",2600.0,5732.0198,2600.0,1.10867802108678,0,,2018-07-24 10:40:15.465985+00:00,8,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
41,k5fepsy6,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:13:57.993436+00:00,1,A2FK7U1OGP2XQT,3YMTUJH0DTZXQOFE4K3GPDFGQ9RT44,0.01,41,22,"[14, 28, 39]",1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-24 11:14:29.295895+00:00,3,0.01,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
42,ljb6qk2e,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:26:09.027364+00:00,1,A2ZDK0Y5466BXN,3RRCEFRB7NVXU2LX4YCVPJ9UK2SB4X,0.01,42,23,"[14, 39, 41]",1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-24 11:26:36.557182+00:00,2,0.01,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
43,4l8g3hlq,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:34:37.018331+00:00,1,A3C8US1D4KC894,31QNSG6A5SCBBR593KQS1T333YX78E,0.01,43,24,"[14, 41, 42]",544.0,1199.314912,544.0,0.558799675587997,0,,2018-07-24 11:35:11.918085+00:00,2,0.01,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
44,p64l4369,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 11:38:21.335382+00:00,1,A15XFO0JDE51X8,3KGTPGBS6Y42NNFG0BA21U4KP93U21,0.04,44,25,"[14, 42, 43]",483.0,1064.832909,483.0,0.608272506082725,0,,2018-07-24 11:38:42.297063+00:00,10,0.04,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
45,en8840yg,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 12:05:57.692045+00:00,1,A1M9NT8B1KNVZK,3I0BTBYZAY4C8MW7VP3DLRHIOZV0YM,0.05,45,25,"[14, 43, 44]",0.0,,,,0,,2018-07-24 12:06:27.595904+00:00,15,0.05,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
46,60wm6y9v,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:06:55.597907+00:00,1,A3HSQ2S9NIVOK2,31LM9EDVOMBPYTTFAV48MGY7JOYJNN,0.03,46,26,"[14, 43, 44]",1900.0,4188.7837,1900.0,0.54095701540957,0,,2018-07-24 13:07:25.153172+00:00,7,0.03,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
47,4d7nc6e5,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-24 13:08:04.354625+00:00,1,A1BC1RCI9Q4HRL,3YJ6NA41JCZP1E5SQAH0Q532J3ZJPJ,0.00,47,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
48,ce9bfexr,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:21:22.378398+00:00,1,A1X89B41M73QTR,3MD9PLUKKJXFY8YJSH7UAAMX2MBZNO,0.02,48,27,"[14, 43, 44]",1600.0,1600.0,725.747667515035,0.41139686332925,1,,2018-07-24 13:21:48.042778+00:00,5,0.02,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
49,1qrsgl6y,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:21:39.559077+00:00,1,A2OD5QYUCEYHJD,3R5F3LQFV33XGTYVTW77PZM2SWGZO3,0.10,49,28,"[14, 43, 44]",483.0,1064.832909,483.0,0.608272506082725,0,,2018-07-24 13:22:19.917802+00:00,30,0.1,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
50,uonp0132,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 13:26:16.725469+00:00,1,A2LTOS0AZ3B28A,3NPFYT4IZDNKJLHI4V6EN5XPTARXGH,0.01,50,29,"[14, 44, 49]",950.0,950.0,430.912677587052,0.650516887601742,1,,2018-07-24 13:26:48.564548+00:00,4,0.01,0.00,1,1,0,0,0.2,30,300,1,3,min,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0
