participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.company_history,player.drawn_items_history,player.decision_history,player.results_calculated,player.drawn_item,player.rand_val,player.choice_of_steps,player.choice_of_trade,player.choice_of_number_of_shares,player.price_at_start_of_round,player.price_at_end_of_round,player.price_change,player.payoff,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
10,3e5jndoo,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.642931+00:00,1,,,6548.22,14,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,6,1,100,85.0670226,89.55430804215,4.48728544215,448.73,448.73,1,2,1kmdkvep,,,,,,0
11,24kwwpa2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.743894+00:00,1,,,6996.93,23,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[true, false, false, true, false, true]","[true, false, false, false, false, false]",1,1,,6,1,20,129.616124,124.93568576236,-4.68043823764,-93.61,-93.61,1,2,1kmdkvep,,,,,,0
12,hpw3ngxf,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.717830+00:00,1,,,6379.86,18,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, true, true, true, true]","[true, false, false, true, true, true]",1,1,,5,1,2,94.22311,95.6326877256,1.4095777256,2.82,2.82,1,2,1kmdkvep,,,,,,0
13,q0taiwwg,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.912203+00:00,1,,,8695.58,6,"[[false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true]]","[false, false, false, true, true, false]","[false, false, false, false, false, false]",1,0,,3,0,50,101.6572817,97.111168062376,-4.546113637624,227.31,227.31,1,2,1kmdkvep,,,,,,0
14,e2nca5u8,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.146234+00:00,1,,,6020.58,20,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,4,0,40,121.179764,115.2177196112,-5.9620443888,238.48,238.48,1,2,1kmdkvep,,,,,,0
15,csalb3iq,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.011393+00:00,1,,,5686.23,2,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, false]","[false, true, false, false, false, false]",1,0,,2,0,30,68.1343306,65.979923066428,-2.154407533572,64.63,64.63,1,2,1kmdkvep,,,,,,0
16,i13yipgv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.088181+00:00,1,,,7801.87,1,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[false, true, true, true, true, true]","[false, true, true, true, true, true]",1,0,,3,0,40,147.5860233,151.897011040593,4.310987740593,-172.44,-172.44,1,2,1kmdkvep,,,,,,0
17,1thfefg4,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.345903+00:00,1,,,5316.05,13,"[[false, false, false], [false, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,8,0,20,113.3119938,108.039586728486,-5.272407071514,105.45,105.45,1,2,1kmdkvep,,,,,,0
18,qxbv12yy,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.308701+00:00,1,,,3227.03,22,"[[true, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, true, false, true, true, false]","[true, true, true, true, true, true]",1,1,,10,1,32,143.6429187,149.999117852475,6.356199152475,203.40,203.40,1,2,1kmdkvep,,,,,,0
19,clpwqai9,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.576332+00:00,1,,,7152.23,11,"[[true, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false], [true, false, false]]","[false, true, true, true, false, false]","[false, false, true, true, true, false]",1,0,,2,0,50,135.3399062,136.122170857836,0.782264657836,-39.11,-39.11,1,2,1kmdkvep,,,,,,0
20,0evsw7pn,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.338968+00:00,1,,,8026.68,12,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, true, true, false, false]","[true, true, true, true, true, true]",1,1,,3,1,118,87.9167016,91.990761552144,4.074059952144,480.74,480.74,1,2,1kmdkvep,,,,,,0
21,ib1s3w5l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.448985+00:00,1,,,3087.51,21,"[[false, true, false], [false, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[false, false, true, true, false, true]","[false, false, false, false, false, false]",1,0,,7,0,3,107.9009316,103.249322438724,-4.651609161276,13.95,13.95,1,2,1kmdkvep,,,,,,0
22,pu8iu4ks,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.870101+00:00,1,,,5837.84,10,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,5,1,100,72.754102,76.30959496474,3.55549296474,355.55,355.55,1,2,1kmdkvep,,,,,,0
23,i0bsf6ef,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:19.983968+00:00,1,,,6652.85,5,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[false, true, true, false, true, true]","[true, false, true, true, true, true]",1,0,,3,1,25,89.0946336,91.614229838208,2.519596238208,62.99,62.99,1,2,1kmdkvep,,,,,,0
1,n7v08ev1,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.166877+00:00,1,,,4458.88,11,"[[true, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, true, false]]","[true, false, false, false, false, false]","[true, true, true, true, true, true]",1,1,,2,1,30,136.122170857836,142.947336504648,6.8251656468119,204.75,204.75,1,3,1kmdkvep,,,,,,0
2,03h6p7k2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.282588+00:00,1,,,5261.80,23,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[true, true, false, true, true, true]","[true, false, false, false, false, false]",1,1,,6,1,50,124.93568576236,122.167110965866,-2.7685747964939,-138.43,-138.43,1,3,1kmdkvep,,,,,,0
3,s74rgywl,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.252454+00:00,1,,,11688.51,20,"[[false, false, false], [false, false, true], [false, false, true], [true, false, true], [true, false, true], [true, false, true]]","[false, true, true, false, false, false]","[false, false, false, false, false, false]",1,0,,4,0,93,115.2177196112,109.885443547594,-5.33227606360634,495.90,495.90,1,3,1kmdkvep,,,,,,0
4,psxiv44l,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.333471+00:00,1,,,7693.13,14,"[[true, true, true], [true, true, true], [true, true, true], [true, true, true], [true, false, true], [true, false, true]]","[true, true, true, true, true, false]","[true, true, true, true, true, true]",1,1,,6,1,112,89.55430804215,93.3272310399658,3.77292299781578,422.57,422.57,1,3,1kmdkvep,,,,,,0
5,liz3as6s,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.367539+00:00,1,,,5359.82,16,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, false, false]]","[false, false, false, false, false, false]","[false, false, false, false, false, false]",1,0,,3,0,50,139.188405976444,132.880387417592,-6.30801855885244,315.40,315.40,1,3,1kmdkvep,,,,,,0
6,o1h7oliv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.421197+00:00,1,,,7220.66,2,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, false, false]]","[true, true, false, true, false, false]","[true, true, true, false, true, false]",1,1,,2,1,50,65.979923066428,67.3226145008298,1.34269143440181,67.13,67.13,1,3,1kmdkvep,,,,,,0
7,pgf2ji7r,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.504222+00:00,1,,,8437.37,8,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [false, false, true], [false, false, true]]","[true, true, true, false, true, false]","[true, true, true, true, false, true]",1,1,,2,1,30,128.49804935877,132.3195813467,3.82153198792982,114.65,114.65,1,3,1kmdkvep,,,,,,0
8,kdnrkjag,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.565427+00:00,1,,,10020.91,7,"[[false, false, false], [false, false, false], [false, false, false], [false, false, false], [false, true, false], [false, true, false]]","[false, false, false, false, false, true]","[false, false, false, false, false, false]",1,0,,5,0,86,115.561016645475,111.230945351769,-4.33007129370595,372.39,372.39,1,3,1kmdkvep,,,,,,0
9,kmb6x265,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.575057+00:00,1,,,9818.80,19,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false]]","[true, true, true, true, false, false]","[false, false, false, true, false, false]",1,1,,7,0,60,114.64966093824,111.509406725142,-3.14025421309839,188.42,188.42,1,3,1kmdkvep,,,,,,0
10,3e5jndoo,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.642931+00:00,1,,,6548.22,6,"[[false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true], [false, false, true]]","[false, false, false, false, true, true]","[false, false, false, false, false, false]",1,0,,3,0,70,97.111168062376,92.5537409452087,-4.55742711716731,319.02,319.02,1,3,1kmdkvep,,,,,,0
11,24kwwpa2,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.743894+00:00,1,,,6996.93,5,"[[false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true], [false, true, true]]","[true, true, false, true, false, true]","[true, true, true, false, true, false]",1,1,,3,1,40,91.614229838208,92.7392525806212,1.12502274241319,45.00,45.00,1,3,1kmdkvep,,,,,,0
12,hpw3ngxf,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.717830+00:00,1,,,6379.86,15,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, false, true, false, false]","[true, true, true, false, true, false]",1,1,,4,1,20,85.761199270352,87.0896402470497,1.32844097669775,26.57,26.57,1,3,1kmdkvep,,,,,,0
13,q0taiwwg,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:11.912203+00:00,1,,,8695.58,12,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, true, true, true, true, false]","[true, true, true, true, true, true]",1,1,,3,1,50,91.990761552144,96.4274759818039,4.43671442965991,221.84,221.84,1,3,1kmdkvep,,,,,,0
14,e2nca5u8,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.146234+00:00,1,,,6020.58,22,"[[false, true, true], [false, true, true], [true, true, true], [true, true, true], [true, true, true], [true, true, true]]","[false, true, true, true, true, true]","[true, true, true, true, true, true]",1,0,,10,1,60,149.999117852475,156.611078967412,6.6119611149371,396.72,396.72,1,3,1kmdkvep,,,,,,0
15,csalb3iq,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.011393+00:00,1,,,5686.23,9,"[[false, true, true], [false, true, true], [false, false, true], [false, false, true], [false, false, true], [false, true, true]]","[true, true, true, true, false, true]","[false, false, false, true, false, false]",1,1,,4,0,50,130.46246293808,127.002598420962,-3.45986451711788,172.99,172.99,1,3,1kmdkvep,,,,,,0
16,i13yipgv,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.088181+00:00,1,,,7801.87,3,"[[true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, true, false], [true, false, false]]","[false, false, false, true, true, false]","[true, true, true, true, true, true]",1,0,,6,1,75,120.79729545936,126.073721325025,5.27642586566485,395.73,395.73,1,3,1kmdkvep,,,,,,0
17,1thfefg4,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.345903+00:00,1,,,5316.05,18,"[[true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true], [true, false, true]]","[true, false, true, true, true, true]","[true, true, true, true, true, true]",1,1,,5,1,40,95.6326877256,100.275654714678,4.64296698907788,185.72,185.72,1,3,1kmdkvep,,,,,,0
18,qxbv12yy,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.308701+00:00,1,,,3227.03,17,"[[false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false], [false, true, false]]","[true, false, false, false, true, false]","[true, false, false, false, false, false]",1,1,,6,1,40,73.767026447268,71.8114625761509,-1.95556387111707,-78.22,-78.22,1,3,1kmdkvep,,,,,,0
19,clpwqai9,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.576332+00:00,1,,,7152.23,4,"[[true, false, true], [true, false, true], [false, false, true], [false, false, false], [false, false, false], [false, false, false]]","[false, true, false, false, false, false]","[false, false, true, false, false, false]",1,0,,3,0,77,130.880868258382,127.068308566015,-3.81255969236667,293.57,293.57,1,3,1kmdkvep,,,,,,0
20,0evsw7pn,,0,120,120,cascade_market,20,Standings,10.42.95.240,2017-10-11 10:44:12.338968+00:00,1,,,8026.68,10,"[[true, true, true], [true, true, true], [true, true, true], [true, true, false], [true, true, false], [true, true, false]]","[true, true, true, true, true, true]","[true, true, true, true, true, true]",1,1,,5,1,142,76.30959496474,80.2135938431361,3.9039988783961,554.37,554.37,1,3,1kmdkvep,,,,,,0
