participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.guess,player.confirm,player.guess_percent_diff,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,subsession.true_number_of_dots,subsession.image_path,subsession.worker_running,subsession.last_worker_activity,subsession.number_of_people_going_to_wait,subsession.last_prewait_check,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
21,k7b55sk5,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:27.498515+00:00,1,A17RL3QW3TK8S6,3R9WASFE20Z3AGL2UTOH25DO141ZFC,0.00,21,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
22,mfl7c9qd,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:30.517262+00:00,1,A24NDC7JH9LEM1,3NS0A6KXC5R9OGHX5DUZKQD02J1ZGB,0.00,22,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
23,mn6tsbtf,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:31.422495+00:00,1,A20NDRGSZZRQF,3JRJSWSMQI4AJ9EDEB92GMN9A8OE3D,0.00,23,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
24,h9aurmcv,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:35:35.734107+00:00,1,A3KU8DC7HJOGCM,3HMIGG0U4MPUQB1AQTGSE6N086L8YE,0.00,24,0,,,0,,1,2018-08-12 11:40:49.682785+00:00,155,0.52,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
25,oibvnyfm,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-12 11:35:40.305314+00:00,1,A1CSHXVJJ8BPHH,3JWH6J9I9TWJGAV3M3RROSFUCS2BNQ,0.00,25,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
26,zawdfugq,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-12 11:35:50.520726+00:00,1,A30KV6CIGNH3E5,39GHHAVOMGA3CLJ9SQPCN7S7TGG4J9,0.00,26,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
27,72dkgm4m,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:35:50.725384+00:00,1,A2E746SZEOVYXS,38JBBYETQPTV15XHEPELQRFFO8K4EO,0.00,27,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
28,scnupsf9,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:36:06.375827+00:00,1,A3D1PLSILELVD,3JRJSWSMQI4AJ9EDEB92GMN9A8OE3D,0.00,28,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
29,4akan0hp,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:36:10.348183+00:00,1,A345RMXKPKS5AD,3QXNC7EIPJEX7LOZNDBXMAORGZO903,0.00,29,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
30,fntl80i6,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:36:16.673958+00:00,1,A13OOAT2ORKH6V,3QIYRE09Y40I3CDBK6Y2IG2LQGB1NX,0.67,30,10,"[1, 3, 12]",350,1,0.13151364764268,,2018-08-12 11:37:14.275547+00:00,201,0.67,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
