,name,group,round,id_in_group,split,high,guess,twothirds,best,win,payoff,id,mturker,strategy
82,GoR_2,10,2,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
83,GoR_2,10,2,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
84,GoR_2,10,3,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
85,GoR_2,10,3,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
86,GoR_2,10,4,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
87,GoR_2,10,4,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
88,GoR_2,10,5,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
89,GoR_2,10,5,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
90,GoR_2,10,6,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
91,GoR_2,10,6,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
92,GoR_2,10,7,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,
93,GoR_2,10,7,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,
94,GoR_2,10,8,1,0,1,100.0,66.67,100.0,1,8.0,ydwleocp,A1HZXKVQSWNKRA,i was just listening to my mind and reading others mind
95,GoR_2,10,8,2,0,1,100.0,66.67,100.0,1,8.0,1q2gv78n,A2F2DDH12YU4AK,"I planned to use a tit for two tats strategy, and the other player never defected from the optimal strategy, so I chose the optimal strategy as well."
96,GoR_2,11,1,1,0,1,75.0,43.33,55.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,
97,GoR_2,11,1,2,0,1,55.0,43.33,55.0,1,2.06,76sgicoq,AXCJ9CO6Q1V90,
98,GoR_2,11,2,1,0,1,30.0,32.33,30.0,1,0.68,cw27jhu7,A2NLSHI7WIT845,
99,GoR_2,11,2,2,0,1,67.0,32.33,30.0,0,2.06,76sgicoq,AXCJ9CO6Q1V90,
100,GoR_2,11,3,1,0,1,62.0,29.0,25.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,
101,GoR_2,11,3,2,0,1,25.0,29.0,25.0,1,2.06,76sgicoq,AXCJ9CO6Q1V90,
102,GoR_2,11,4,1,0,1,45.0,25.67,32.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,
103,GoR_2,11,4,2,0,1,32.0,25.67,32.0,1,2.06,76sgicoq,AXCJ9CO6Q1V90,
104,GoR_2,11,5,1,0,1,20.0,22.33,20.0,1,0.68,cw27jhu7,A2NLSHI7WIT845,
105,GoR_2,11,5,2,0,1,47.0,22.33,20.0,0,2.06,76sgicoq,AXCJ9CO6Q1V90,
106,GoR_2,11,6,1,0,1,18.0,35.67,18.0,1,0.68,cw27jhu7,A2NLSHI7WIT845,
107,GoR_2,11,6,2,0,1,89.0,35.67,18.0,0,2.06,76sgicoq,AXCJ9CO6Q1V90,
108,GoR_2,11,7,1,0,1,60.0,35.0,45.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,
109,GoR_2,11,7,2,0,1,45.0,35.0,45.0,1,2.06,76sgicoq,AXCJ9CO6Q1V90,
110,GoR_2,11,8,1,0,1,52.0,33.67,49.0,0,0.68,cw27jhu7,A2NLSHI7WIT845,I just guessed.
111,GoR_2,11,8,2,0,1,49.0,33.67,49.0,1,2.06,76sgicoq,AXCJ9CO6Q1V90,Random!!
112,GoR_2,12,1,1,1,1,50.0,25.0,25.0,0,1.38,p1e9qtlq,A1PTBCPAYANOYE,
113,GoR_2,12,1,2,1,1,25.0,25.0,25.0,1,0.63,r5pm31lo,A2GPI1HXNYE2CC,
114,GoR_2,12,2,1,1,1,10.0,16.67,10.0,1,1.38,p1e9qtlq,A1PTBCPAYANOYE,
115,GoR_2,12,2,2,1,1,40.0,16.67,10.0,0,0.63,r5pm31lo,A2GPI1HXNYE2CC,
116,GoR_2,12,3,1,1,1,99.0,36.33,10.0,0,1.38,p1e9qtlq,A1PTBCPAYANOYE,
117,GoR_2,12,3,2,1,1,10.0,36.33,10.0,1,0.63,r5pm31lo,A2GPI1HXNYE2CC,
118,GoR_2,12,4,1,1,1,10.0,22.0,10.0,1,1.38,p1e9qtlq,A1PTBCPAYANOYE,
119,GoR_2,12,4,2,1,1,56.0,22.0,10.0,0,0.63,r5pm31lo,A2GPI1HXNYE2CC,
120,GoR_2,12,5,1,1,1,10.0,28.33,10.0,1,1.38,p1e9qtlq,A1PTBCPAYANOYE,
121,GoR_2,12,5,2,1,1,75.0,28.33,10.0,0,0.63,r5pm31lo,A2GPI1HXNYE2CC,
122,GoR_2,12,6,1,1,1,20.0,13.33,20.0,1,1.38,p1e9qtlq,A1PTBCPAYANOYE,
123,GoR_2,12,6,2,1,1,20.0,13.33,20.0,1,0.63,r5pm31lo,A2GPI1HXNYE2CC,
124,GoR_2,12,7,1,1,1,15.0,16.67,15.0,1,1.38,p1e9qtlq,A1PTBCPAYANOYE,
125,GoR_2,12,7,2,1,1,35.0,16.67,15.0,0,0.63,r5pm31lo,A2GPI1HXNYE2CC,
126,GoR_2,12,8,1,1,1,10.0,9.33,10.0,1,1.38,p1e9qtlq,A1PTBCPAYANOYE,I tried to find a pattern in the opponent's picks.
127,GoR_2,12,8,2,1,1,18.0,9.33,10.0,0,0.63,r5pm31lo,A2GPI1HXNYE2CC,guessing
128,GoR_2,13,1,1,0,0,45.0,25.67,32.0,0,0.17,cyovsl54,AMA4SXSYNC35I,
129,GoR_2,13,1,2,0,0,32.0,25.67,32.0,1,0.93,a8q7pvu6,A3QXTQ04O5EMVI,
130,GoR_2,13,2,1,0,0,52.0,24.67,22.0,0,0.17,cyovsl54,AMA4SXSYNC35I,
131,GoR_2,13,2,2,0,0,22.0,24.67,22.0,1,0.93,a8q7pvu6,A3QXTQ04O5EMVI,
132,GoR_2,13,3,1,0,0,17.0,12.33,17.0,1,0.17,cyovsl54,AMA4SXSYNC35I,
133,GoR_2,13,3,2,0,0,20.0,12.33,17.0,0,0.93,a8q7pvu6,A3QXTQ04O5EMVI,
134,GoR_2,13,4,1,0,0,62.0,22.33,5.0,0,0.17,cyovsl54,AMA4SXSYNC35I,
135,GoR_2,13,4,2,0,0,5.0,22.33,5.0,1,0.93,a8q7pvu6,A3QXTQ04O5EMVI,
136,GoR_2,13,5,1,0,0,50.0,19.33,8.0,0,0.17,cyovsl54,AMA4SXSYNC35I,
137,GoR_2,13,5,2,0,0,8.0,19.33,8.0,1,0.93,a8q7pvu6,A3QXTQ04O5EMVI,
138,GoR_2,13,6,1,0,0,17.0,9.0,10.0,0,0.17,cyovsl54,AMA4SXSYNC35I,
139,GoR_2,13,6,2,0,0,10.0,9.0,10.0,1,0.93,a8q7pvu6,A3QXTQ04O5EMVI,
140,GoR_2,13,7,1,0,0,22.0,10.0,8.0,0,0.17,cyovsl54,AMA4SXSYNC35I,
141,GoR_2,13,7,2,0,0,8.0,10.0,8.0,1,0.93,a8q7pvu6,A3QXTQ04O5EMVI,
142,GoR_2,13,8,1,0,0,19.0,9.0,8.0,0,0.17,cyovsl54,AMA4SXSYNC35I,My best guest based on previous numbers.
143,GoR_2,13,8,2,0,0,8.0,9.0,8.0,1,0.93,a8q7pvu6,A3QXTQ04O5EMVI,Guessing what they would think and going way lower since that was more likely to hit the 2/3rd mark of an average
144,GoR_2,16,1,1,0,1,25.0,26.67,25.0,1,1.2,l19hdtm1,A560H91GWX2V7,
145,GoR_2,16,1,2,0,1,55.0,26.67,25.0,0,1.05,ev17kezd,A1IL2K0ELYI090,
146,GoR_2,16,2,1,0,1,35.0,25.0,35.0,1,1.2,l19hdtm1,A560H91GWX2V7,
147,GoR_2,16,2,2,0,1,40.0,25.0,35.0,0,1.05,ev17kezd,A1IL2K0ELYI090,
148,GoR_2,16,3,1,0,1,37.0,20.67,25.0,0,1.2,l19hdtm1,A560H91GWX2V7,
149,GoR_2,16,3,2,0,1,25.0,20.67,25.0,1,1.05,ev17kezd,A1IL2K0ELYI090,
150,GoR_2,16,4,1,0,1,55.0,30.0,35.0,0,1.2,l19hdtm1,A560H91GWX2V7,
151,GoR_2,16,4,2,0,1,35.0,30.0,35.0,1,1.05,ev17kezd,A1IL2K0ELYI090,
152,GoR_2,16,5,1,0,1,35.0,25.0,35.0,1,1.2,l19hdtm1,A560H91GWX2V7,
153,GoR_2,16,5,2,0,1,40.0,25.0,35.0,0,1.05,ev17kezd,A1IL2K0ELYI090,
154,GoR_2,16,6,1,0,1,35.0,20.0,25.0,0,1.2,l19hdtm1,A560H91GWX2V7,
155,GoR_2,16,6,2,0,1,25.0,20.0,25.0,1,1.05,ev17kezd,A1IL2K0ELYI090,
156,GoR_2,16,7,1,0,1,35.0,18.33,20.0,0,1.2,l19hdtm1,A560H91GWX2V7,
157,GoR_2,16,7,2,0,1,20.0,18.33,20.0,1,1.05,ev17kezd,A1IL2K0ELYI090,
158,GoR_2,16,8,1,0,1,25.0,18.33,25.0,1,1.2,l19hdtm1,A560H91GWX2V7,forecasting values based on the other user's previously entered values although done approximately.
159,GoR_2,16,8,2,0,1,30.0,18.33,25.0,0,1.05,ev17kezd,A1IL2K0ELYI090,Prediction
160,GoR_2,18,1,1,1,1,45.0,26.0,33.0,0,1.01,ulr8nitt,A2W3A42TRMJ861,
161,GoR_2,18,1,2,1,1,33.0,26.0,33.0,1,1.01,nb2zrcf4,A2Y8H19KDBK3GK,
162,GoR_2,18,2,1,1,1,24.0,13.33,16.0,0,1.01,ulr8nitt,A2W3A42TRMJ861,
163,GoR_2,18,2,2,1,1,16.0,13.33,16.0,1,1.01,nb2zrcf4,A2Y8H19KDBK3GK,
164,GoR_2,18,3,1,1,1,10.0,10.0,10.0,1,1.01,ulr8nitt,A2W3A42TRMJ861,
165,GoR_2,18,3,2,1,1,20.0,10.0,10.0,0,1.01,nb2zrcf4,A2Y8H19KDBK3GK,
166,GoR_2,18,4,1,1,1,6.0,8.67,6.0,1,1.01,ulr8nitt,A2W3A42TRMJ861,
167,GoR_2,18,4,2,1,1,20.0,8.67,6.0,0,1.01,nb2zrcf4,A2Y8H19KDBK3GK,
168,GoR_2,18,5,1,1,1,4.0,2.0,2.0,0,1.01,ulr8nitt,A2W3A42TRMJ861,
169,GoR_2,18,5,2,1,1,2.0,2.0,2.0,1,1.01,nb2zrcf4,A2Y8H19KDBK3GK,
170,GoR_2,18,6,1,1,1,1.0,0.67,1.0,1,1.01,ulr8nitt,A2W3A42TRMJ861,
171,GoR_2,18,6,2,1,1,1.0,0.67,1.0,1,1.01,nb2zrcf4,A2Y8H19KDBK3GK,
172,GoR_2,18,7,1,1,1,1.0,1.33,1.0,1,1.01,ulr8nitt,A2W3A42TRMJ861,
173,GoR_2,18,7,2,1,1,3.0,1.33,1.0,0,1.01,nb2zrcf4,A2Y8H19KDBK3GK,
174,GoR_2,18,8,1,1,1,1.0,0.67,1.0,1,1.01,ulr8nitt,A2W3A42TRMJ861,"I saw that the average kept on decreasing with each progressing round, so I decided to keep on lowering my guess as that happened."
175,GoR_2,18,8,2,1,1,1.0,0.67,1.0,1,1.01,nb2zrcf4,A2Y8H19KDBK3GK,I figured the average would decrease.
176,GoR_2,22,1,1,0,0,29.0,35.0,29.0,1,3.28,kkrvlx9a,A3IG7TGHFRA1GG,
177,GoR_2,22,1,2,0,0,76.0,35.0,29.0,0,3.04,80d31kej,A2G4O61TYSWYS9,
178,GoR_2,22,2,1,0,0,90.0,55.33,76.0,0,3.28,kkrvlx9a,A3IG7TGHFRA1GG,
179,GoR_2,22,2,2,0,0,76.0,55.33,76.0,1,3.04,80d31kej,A2G4O61TYSWYS9,
180,GoR_2,22,3,1,0,0,64.0,46.67,64.0,1,3.28,kkrvlx9a,A3IG7TGHFRA1GG,
181,GoR_2,22,3,2,0,0,76.0,46.67,64.0,0,3.04,80d31kej,A2G4O61TYSWYS9,
182,GoR_2,22,4,1,0,0,10.0,28.67,10.0,1,3.28,kkrvlx9a,A3IG7TGHFRA1GG,
183,GoR_2,22,4,2,0,0,76.0,28.67,10.0,0,3.04,80d31kej,A2G4O61TYSWYS9,
184,GoR_2,22,5,1,0,0,73.0,49.67,73.0,1,3.28,kkrvlx9a,A3IG7TGHFRA1GG,
185,GoR_2,22,5,2,0,0,76.0,49.67,73.0,0,3.04,80d31kej,A2G4O61TYSWYS9,
186,GoR_2,22,6,1,0,0,76.0,50.67,76.0,1,3.28,kkrvlx9a,A3IG7TGHFRA1GG,
187,GoR_2,22,6,2,0,0,76.0,50.67,76.0,1,3.04,80d31kej,A2G4O61TYSWYS9,
188,GoR_2,22,7,1,0,0,77.0,51.0,76.0,0,3.28,kkrvlx9a,A3IG7TGHFRA1GG,
189,GoR_2,22,7,2,0,0,76.0,51.0,76.0,1,3.04,80d31kej,A2G4O61TYSWYS9,
190,GoR_2,22,8,1,0,0,76.0,50.67,76.0,1,3.28,kkrvlx9a,A3IG7TGHFRA1GG,Only random answers
191,GoR_2,22,8,2,0,0,76.0,50.67,76.0,1,3.04,80d31kej,A2G4O61TYSWYS9,I pick the same number every time.
192,GoR_2,23,1,1,0,0,77.0,45.67,60.0,0,1.3,bx6dfxhw,A3CCXD63N92HZ5,
193,GoR_2,23,1,2,0,0,60.0,45.67,60.0,1,1.6,olhdallt,A18FVXL05I2YEO,
194,GoR_2,23,2,1,0,0,21.0,15.33,21.0,1,1.3,bx6dfxhw,A3CCXD63N92HZ5,
195,GoR_2,23,2,2,0,0,25.0,15.33,21.0,0,1.6,olhdallt,A18FVXL05I2YEO,
196,GoR_2,23,3,1,0,0,84.0,41.33,40.0,0,1.3,bx6dfxhw,A3CCXD63N92HZ5,
197,GoR_2,23,3,2,0,0,40.0,41.33,40.0,1,1.6,olhdallt,A18FVXL05I2YEO,
